pid,link,name,price,brand
339211,https://www.thegioididong.com/laptop/gigabyte-a16-ga6h-i7-gaming-a16-cmhi2vn893sh,"Laptop GIGABYTE Gaming A16 GA6H - GAMING-A16-CMHI2VN893SH (i7 13620H, 16GB, 512GB, RTX 4050 6GB, WUXGA 165Hz, Win11)",25390000.0,GIGABYTE
329858,https://www.thegioididong.com/laptop/asus-x1504za-i5-nj1608w,"Laptop Asus Vivobook 15 X1504ZA - NJ1608W (i5 1235U, 16GB, 512GB, Full HD, Win11)",13690000.0,Asus
331527,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0153tu-ultra-7-ay8v4pa,"Laptop HP Envy X360 14 fc0153TU - AY8V4PA (Ultra 7 155U, 32GB, 512GB, 2.8K OLED, Cảm ứng, Office365, Win11)",31590000.0,HP
309565,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa?utm_flashsale=1,"Laptop HP Pavilion 15 eg2081TU - 7C0Q4PA (i5 1240P, 16GB, 512GB, Full HD, Win11)",15890000.0,HP
333098,https://www.thegioididong.com/laptop/asus-vivobook-s-14-s5406sa-ultra-5-pp060ws,"Laptop Asus Vivobook S14 S5406SA - PP060WS (Ultra 5 226V, 16GB, 512GB, 2.8K OLED 120Hz, OfficeHS, Win11)",25190000.0,Asus
327901,https://www.thegioididong.com/laptop/dell-g15-5530-i9-i9hx161w11gr4060,"Laptop Dell G15 5530 - i9HX161W11GR4060 (i9 13900HX, 16GB, 1TB, 8GB RTX4060, 15.6""F, 165Hz, OfficeHS, Win11)",40190000.0,Dell
327900,https://www.thegioididong.com/laptop/dell-g15-5530-i7-i7hx161w11gr4060,"Laptop Dell G15 5530 - i7HX161W11GR4060 (i7 13650HX, 16GB, 1TB, RTX 4060 8GB, Full HD 165Hz, OfficeHS, Win11)",36190000.0,Dell
326194,https://www.thegioididong.com/laptop/dell-vostro-3520-i5-71030559,"Laptop Dell Vostro 3520 - 71030559 (i5 1235U, 16GB, 512GB, 15.6""F, 120Hz, OfficeHS, Win11)",15490000.0,Dell
339661,https://www.thegioididong.com/laptop/lenovo-thinkpad-x9-15-oled-ultra-5-21q60050vn,"Laptop Lenovo ThinkPad X9 15 OLED - 21Q60050VN (Ultra 5 228V, 32GB, 512GB, 2.8K OLED 120Hz, Win11 Pro)",47390000.0,Lenovo
313332,https://www.thegioididong.com/laptop/acer-nitro-5-an515-58-769j-i7-nhqfhsv003,Laptop Acer Gaming Nitro 5 Tiger AN515 58 769J i7 12700H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.003),20190000.0,Acer
339647,https://www.thegioididong.com/laptop/lenovo-legion-5-15iax10-ultra-7-83f0003cvn,"Laptop Lenovo Gaming Legion 5 15IAX10 - 83F0003CVN (Ultra 7 255HX, 32GB, 1TB, RTX 5060 8GB, WQXGA OLED 165Hz, OfficeH24, Win11)",48990000.0,Lenovo
332397,https://www.thegioididong.com/laptop/acer-swift-ai-sf14-51-53p9-ultra-5-nxj2ksv002,"Laptop Acer Swift AI SF14 51 53P9 - NX.J2KSV.002 (Ultra 5 226V, 16GB, 1TB, 2.8K OLED 90Hz, Win11)",34390000.0,Acer
328945,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71043885,"Laptop Dell Inspiron 15 3530 - 71043885 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS, KYHD, Win11)",17490000.0,Dell
312414,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w,"Laptop Asus Vivobook 15 X1504ZA - NJ102W (i3 1215U, 8GB, 512GB, Full HD, Win11)",9990000.0,Asus
327899,https://www.thegioididong.com/laptop/asus-fx507vv-i7-lp151w,"Laptop Asus TUF Gaming F15 FX507VV - LP151W (i7 13620H, 16GB, 512GB, RTX 4060 8GB, Full HD 144Hz, Win11)",28690000.0,Asus
