data_id,rating,quantity_sales
330579,5,Đã bán 71
334806,5,Đã bán 9
341609,,Đã bán 2
339541,,Đã bán 2
325242,5,"Đã bán 8,9k"
311117,4.9,Đã bán 963
339542,,
339682,5,Đã bán 24
327982,4.9,"Đã bán 1,2k"
328239,4.9,Đã bán 669
341610,,Đã bán 2
320434,4.9,Đã bán 957
339650,,Đã bán 1
340563,5,Đã bán 22
341564,5,Đã bán 22
309243,4.9,"Đã bán 1,1k"
325583,5,Đã bán 26
339660,,
329851,5,Đã bán 101
334797,5,Đã bán 51
335181,5,Đã bán 41
340488,,
339689,5,Đã bán 14
342495,,Đã bán 1
325575,,Đã bán 1
342497,,Đã bán 1
341566,5,Đã bán 8
332350,,
332352,,
341565,5,Đã bán 4
335010,,
341567,,Đã bán 2
335112,,
335113,,Đã bán 1
342756,5,Đã bán 90
342024,5,Đã bán 140
231244,4.9,Đã bán 14k
342942,5,Đã bán 7
342755,5,Đã bán 4
342507,5,Đã bán 3
341621,5,Đã bán 7
342519,5,Đã bán 4
342941,5,Đã bán 3
328599,5,Đã bán 64
332451,5,Đã bán 29
335366,4.9,Đã bán 104
341622,,Đã bán 2
305009,4.9,"Đã bán 1,7k"
331523,,Đã bán 3
331567,5,Đã bán 6
335369,5,Đã bán 16
339558,,Đã bán 2
341613,5,Đã bán 3
328598,5,Đã bán 51
331522,5,Đã bán 4
332448,5,Đã bán 206
334694,5,Đã bán 3
337040,,Đã bán 1
337844,,Đã bán 1
339235,,Đã bán 2
339236,5,Đã bán 4
341269,,Đã bán 1
342505,,Đã bán 1
284343,4.9,Đã bán 414
332274,,
335015,,
335963,,
335964,,Đã bán 1
341268,,
341572,,
341573,,
342504,,
342508,,
342517,,
342523,,
342721,,
342725,,
