Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Kích thước,Chất liệu,data_id
60 Wh,Windows 11 Home SL,2024,Dài 343.4 mm - Rộng 239.5 mm - Dày 17.9 mm - 1.63 kg,Vỏ nhựa - nắp lưng bằng kim loại,334444
80 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 344.9 mm - Rộng 255.35 mm - Dày 21.54 mm - 1.9 kg,Vỏ nhựa - nắp lưng bằng kim loại,339648
"4-cell Li-Po, 75 Wh",Windows 11 Home SL,2025,Dài 359 mm - Rộng 262 mm - Dày 25.5 mm - 2.4 kg,Vỏ nhựa,341611
"4-cell Li-ion, 75 Wh",Windows 11 Home SL,2023,Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm - 1.2 kg,Vỏ kim loại - Nhôm,321468
"3-cell, 53.5Wh",Windows 11 Home SL,2024,Dài 359.36 mm - Rộng 250.34 mm - Dày 22.9 mm - 1.98 kg,Vỏ nhựa,322099
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,330165
"4-cell Li-ion, 75 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 313.5 mm - Rộng 217.9 mm - Dày 19.9 mm - 1.35 kg,Nhôm - Magie,334798
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2023,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - 1.74 kg,Vỏ kim loại - Nắp lưng bằng nhựa,315911
"Li-Polymer, 76Wh",Windows 11 Home SL,2025,Dài 358.3 mm - Rộng 262.5 mm - Dày 22.99 mm - 2.233 kg,Vỏ nhựa,341752
60 Wh,Windows 11 Home SL,2024,Dài 314.4 mm - Rộng 222.1 mm - Dày 17.9 mm - 1.43 kg,Vỏ nhựa - nắp lưng bằng kim loại,337241
58 Wh,Windows 11 Pro,2025,Dài 313.6 mm - Rộng 219.4 mm - Dày 19.75 mm - 1.24 kg,Vỏ nhựa - nắp lưng bằng kim loại,339658
"4-cell Li-ion, 75 Wh",Windows 11 Home SL,2023,Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm - 1.2 kg,Vỏ kim loại - Nhôm,320431
"4-cell, 56Wh",Windows 11 Home SL,2023,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,327974
"4-cell Li-ion, 70 Wh",Windows 11 Home SL,2023,Dài 369 mm - Rộng 259.4 mm - Dày 23.9 mm - 2.33 kg,Vỏ nhựa,325002
80 Wh,Windows 11 Pro,2025,Dài 339.55 mm - Rộng 228.5 mm - Dày 12.9 mm - 1.4 kg,Vỏ kim loại - Nhôm,339662
"4-cell Li-Polymer, 99 Wh",Windows 11 Home SL,2025,Dài 357 mm - Rộng 254 mm - Dày 29 mm - 2.5 kg,Vỏ nhựa,337841
"3-cell Li-ion, 63 Wh",Windows 11 Home + Office Home 2024 + Microsoft 365 Basic,2025,Dài 357 mm - Rộng 250.7 mm - Dày 22 mm - 1.95 kg,Vỏ nhựa,342752
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 356.78 mm - Rộng 249.52 mm - Dày 17.37 mm - 1.87 kg,Vỏ nhựa,326864
"4-cell Li-ion, 75 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,,Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm - 1.2 kg,Vỏ kim loại - Nhôm,334802
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 312.9 mm - Rộng 223.5 mm - Dày 14.3 mm - 1.34 kg,Vỏ kim loại,335835
"3-cell, 50Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 357 mm - Rộng 250.6 mm - Dày 19.9 mm - 1.88 kg,Vỏ nhựa,339234
75 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 312.93 mm - Rộng 203.5 mm - Dày 14.55 mm - 1.23 kg,Vỏ kim loại - Nhôm,337236
"4-cell Li-ion, 75 Wh",Windows 11 Home SL,2025,Dài 315.6 mm - Rộng 235.5 mm - Dày 21.6 mm - 1.625 kg,Vỏ nhựa,339951
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2023,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,327509
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2024,Dài 322.17 mm - Rộng 219.43 mm - Dày 19.34 mm - 1.5 kg,Vỏ nhựa,334805
"3-cell, 48Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 256 mm - Dày 24.5 mm - 2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,322269
60 Wh,Windows 11 Home SL,,Dài 314.4 mm - Rộng 222.1 mm - Dày 17.9 mm - 1.43 kg,Vỏ nhựa - nắp lưng bằng kim loại,335551
"3-cell Li-ion, 57 Wh",Windows 11 Home SL,2024,Dài 299 mm - Rộng 213.16 mm - Dày 17.75 mm - 1.15 kg,Vỏ kim loại - Nhôm,338313
"4-cell Li-ion, 70 Wh",Windows 11 Home SL,2025,Dài 357 mm - Rộng 250.6 mm - Dày 17.9 mm - 1.7 kg,Vỏ kim loại - Nắp lưng bằng nhựa,342758
"4-cell, 72Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 310.3 mm - Rộng 214.7 mm - Dày 12.9 mm - 1.2 kg,Vỏ kim loại - Nhôm,330579
"3-cell Li-ion, 42 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 315.2 mm - Rộng 223.4 mm - Dày 17.9 mm - 1.46 kg,Vỏ nhựa,334806
"4-cell Li-Po, 75 Wh",Windows 11 Home SL,2025,Dài 359 mm - Rộng 262 mm - Dày 25.5 mm - 2.4 kg,Vỏ nhựa,341609
80 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 364.38 mm - Rộng 275.94 mm - Dày 26.65 mm - 2.57 kg,Vỏ kim loại - Nhôm,339541
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2023,Dài 358.5 mm - Rộng 235.56 mm - Dày 16.96 mm - 1.66 kg,Vỏ nhựa,325242
"3-cell Li-ion, 63 Wh",Windows 11 Home SL,2023,Dài 317.1 mm - Rộng 222.5 mm - Dày 18.9 mm - 1.4 kg,Vỏ nhựa,311117
80 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 364.38 mm - Rộng 275.94 mm - Dày 26.65 mm - 2.57 kg,Vỏ kim loại - Nhôm,339542
"3-cell, 54 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 314 mm - Rộng 223.7 mm - Dày 17.9 mm - 1.53 kg,Vỏ kim loại - Nhôm,339682
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,327982
"4-cell Li-ion, 75 Wh",Windows 11 Home SL,2024,Dài 310.5 mm - Rộng 221.9 mm - Dày 15.9 mm - 1.3 kg,Vỏ kim loại - Nhôm,328239
"4-cell Li-Po, 75 Wh",Windows 11 Home SL,2025,Dài 359 mm - Rộng 262 mm - Dày 25.5 mm - 2.4 kg,Vỏ nhựa,341610
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2023,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,320434
80 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 364.38 mm - Rộng 268.06 mm - Dày 25.95 mm - 2.43 kg,Vỏ nhựa - nắp lưng bằng kim loại,339650
"3-cell, 54 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 314 mm - Rộng 223.75 mm - Dày 17.9 mm - 1.53 kg,Vỏ kim loại - Nhôm,340563
"6-cell Li-ion, 96 Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 356.98 mm - Rộng 265.43 mm - Dày 18.61 mm - 2.49 kg,Vỏ nhựa - nắp lưng bằng kim loại,341564
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2023,Dài 358.5 mm - Rộng 235.56 mm - Dày 16.96 ~ 18.99 mm - 1.66 kg,Vỏ nhựa,309243
"4-cell, 65Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 266.44 mm - Dày 21.81 mm - 2.38 kg,Vỏ nhựa,325583
57Wh,Windows 11 Pro,2025,Dài 312.8 mm - Rộng 214.75 mm - Dày 17.95 mm - 1.006 kg,Mặt trên Sợi Carbon - Mặt dưới nhôm,339660
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,,Dài 314 mm - Rộng 226.15 mm - Dày 18.9 mm - 1.74 kg,Vỏ nhựa,329851
"4-cell Li-ion, 75 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm - 1.28 kg,Vỏ kim loại - Nhôm,334797
"3-cell, 54 Wh",Windows 11 Home SL,2024,Dài 305.7 mm - Rộng 207.5 mm - Dày 18.44 mm - 1.23 kg,Vỏ nhựa,335181
80 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 344.9 mm - Rộng 255.35 mm - Dày 21.54 mm - 1.9 kg,Vỏ nhựa - nắp lưng bằng kim loại,340488
"3-cell Li-ion, 63 Wh",Windows 11 Home SL,2025,Dài 357 mm - Rộng 250.7 mm - Dày 22 mm - 1.95 kg,Vỏ nhựa,339689
"Li-ion, 60 Wh",Windows 11 Home SL,2025,Dài 313.4 mm - Rộng 222 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại - Nhôm,342495
"4-cell, 90 Wh",Windows 11 Home SL,2024,Dài 382 mm - Rộng 260 mm - Dày 19 mm - 2.49 kg,Vỏ kim loại,325575
"Li-ion, 60 Wh",Windows 11 Home SL,2025,Dài 313.4 mm - Rộng 222 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại - Nhôm,342497
"6-cell Li-ion, 96 Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 356.98 mm - Rộng 265.43 mm - Dày 18.61 mm - 2.49 kg,Vỏ nhựa - nắp lưng bằng kim loại,341566
"4-cell, 99.9Wh",Windows 11 Home SL,2024,Dài 358.4 mm - Rộng 254.4 mm - Dày 18.95 mm - 1.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,332350
"4-cell Li-ion, 75 Wh",Windows 11 Home SL,2024,Dài 299 mm - Rộng 210 mm - Dày 16.9 mm - 0.99 kg,Vỏ kim loại,332352
"6-cell Li-ion, 96 Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 356.98 mm - Rộng 265.43 mm - Dày 22.7 mm - 2.57 kg,Vỏ nhựa - nắp lưng bằng hợp kim nhôm,341565
"4-cell, 99.9Wh",Windows 11 Home SL,2025,Dài 404 mm - Rộng 307.5 mm - Dày 32.05 mm - 3.6 kg,Vỏ kim loại,335010
"6-cell Li-ion, 96 Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 356.98 mm - Rộng 265.43 mm - Dày 18.61 mm - 2.49 kg,Vỏ nhựa - nắp lưng bằng kim loại,341567
"4-cell, 99.9Wh",Windows 11 Home SL,2025,Dài 404 mm - Rộng 307.5 mm - Dày 32.05 mm - 3.6 kg,Vỏ nhựa - nắp lưng bằng kim loại,335112
"4-cell, 99.9Wh",Windows 11 Home SL,2025,Dài 399.99 mm - Rộng 289.67 mm - Dày 23.99 mm - 2.89 kg,Nhôm - Magie,335113
"4-cell Li-Po, 54 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,342756
"Li-Po, 53.8 Wh",macOS Sequoia,03/2025,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ nhôm tái chế 100%,342024
Lên đến 18 giờ,macOS,2020,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - 1.29 kg,Vỏ kim loại nguyên khối,231244
"3-cell Li-Po, 52.4 Wh",Windows 11 Home SL,2025,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,342942
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2025,Dài 358 mm - Rộng 235 mm - Dày 17 mm - 1.63 kg,Vỏ nhựa,342755
"4-cell Li-ion, 60 Wh",Windows 11 Home SL,2025,Dài 359.86 mm - Rộng 258.7 mm - Dày 23.9 mm - 2.4 kg,Vỏ nhựa,342507
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2025,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.65 kg,Vỏ nhựa,341621
"Li-ion, 80 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 344.9 mm - Rộng 255.35 mm - Dày 21.54 mm - 1.9 kg,Vỏ nhựa - Nắp lưng bằng nhôm,342519
"3-cell Li-Po, 46.8 Wh",Windows 11 Home SL,2024,Dài 358.9 mm - Rộng 235.9 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,342941
"2 cell Li-ion, 40.2 Wh",Chrome OS,2023,Dài 287.9 mm - Rộng 202.3 mm - Dày 15.9 mm - 1.06 kg,Vỏ nhựa,328599
"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.62 kg,Vỏ nhôm tái chế 100%,332451
"Li-Po, 53.8 Wh",macOS Sequoia,03/2025,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ nhôm tái chế 100%,335366
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2024,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.65 kg,Vỏ nhựa,341622
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,305009
"3-cell, 56Wh",Windows 11 Pro,2024,Dài 300 mm - Rộng 216.1 mm - Dày 16.2 mm - 1.4 kg,Vỏ kim loại,331523
"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.55 kg,Vỏ nhôm tái chế 100%,331567
"Li-Po, 53.8 Wh",macOS Sequoia,03/2025,Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg,Vỏ nhôm tái chế 100%,335369
"4-cell Li-ion, 74.5 Wh",Windows 11 Pro,2025,Dài 312.2 mm - Rộng 214.6 mm - Dày 13.1 mm - 1.49 kg,Vỏ kim loại,339558
"4-cell, 75 Wh",Windows 11 Home SL,2025,Dài 359 mm - Rộng 262 mm - Dày 25.5 mm - 2.4 kg,Vỏ nhựa,341613
"2 cell Li-ion, 42.3 Wh",Chrome OS,2023,Dài 327.1 mm - Rộng 225.6 mm - Dày 15.9 mm - 1.145 kg,Vỏ nhựa,328598
"3-cell, 56Wh",Windows 11 Home SL,2024,Dài 300 mm - Rộng 216.1 mm - Dày 16.2 mm - 1.4 kg,Vỏ kim loại,331522
"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.55 kg,Vỏ nhôm tái chế 100%,332448
"4-cell Li-ion, 99 Wh",Windows 11 Home SL,2024,Dài 356 mm - Rộng 254 mm - Dày 27 mm - 2.345 kg,Vỏ nhựa,334694
"3-cell Li-ion, 59 Wh",Windows 11 Pro,2024,Dài 312.9 mm - Rộng 223.5 mm - Dày 8.47 mm - 1.326 kg,Vỏ kim loại,337040
"4-cell Li-ion, 73 Wh",Windows 11 Home SL,2024,Dài 361 mm - Rộng 259 mm - Dày 28.9 mm - 2.533 kg,Vỏ nhựa,337844
"4-cell Li-ion, 75 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm - 1.2 kg,Vỏ kim loại - Nhôm,339235
"4-cell Li-ion, 78 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 353.6 mm - Rộng 243 mm - Dày 12.9 mm - 1.5 kg,Vỏ kim loại - Nhôm,339236
"6-cell Li-Po, 64 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 313.7 mm - Rộng 216.2 mm - Dày 14.9 mm - 1.327 kg,Vỏ hợp kim Nhôm,341269
"2-cell Li-Po, 70 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 312 mm - Rộng 219.3 mm - Dày 13.9 mm - 1.19 kg,Vỏ nhôm,342505
"4-cell, 76Wh",Windows 11 Home SL,2022,Dài 354 mm - Rộng 251 mm - Dày 20.7 mm - 2 kg,Vỏ nhựa - nắp lưng bằng kim loại,284343
"6-cell Li-ion, 71 Wh",Windows 11 Home SL,2024,Dài 313 mm - Rộng 233.5 mm - Dày 16.9 mm - 1.63 kg,Vỏ kim loại,332274
"4-cell, 90 Wh",Windows 11 Home SL,2025,Dài 357 mm - Rộng 284 mm - Dày 28.55 mm - 2.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,335015
"4-cell Li-ion, 99.98 Wh",Windows 11 Pro,,Dài 400.96 mm - Rộng 307.9 mm - Dày 29.55 mm - 3.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,335963
"4-cell Li-ion, 99.98 Wh",Windows 11 Pro,2025,Dài 400.96 mm - Rộng 307.9 mm - Dày 29.55 mm - 3.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,335964
"6-cell Li-Po, 64 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 313.7 mm - Rộng 216.2 mm - Dày 14.9 mm - 1.33 kg,Vỏ hợp kim Nhôm,341268
"4-cell, 99.9Wh",Windows 11 Home SL,2025,Dài 358.4 mm - Rộng 254.4 mm - Dày 18.95 mm - 1.5 kg,Vỏ kim loại,341572
"4-cell, 99.9Wh",Windows 11 Home,2025,Dài 355.8 mm - Rộng 259.7 mm - Dày 19.95 mm - 2.1 kg,Vỏ kim loại,341573
"2-cell Li-Po, 70 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 312 mm - Rộng 219.3 mm - Dày 13.9 mm - 1.19 kg,Vỏ nhôm,342504
57 Wh Li-ion,Windows 11 Pro,2025,Dài 312.8 mm - Rộng 217.65 mm - Dày 18.3 mm - 1.22 kg,Vỏ nhôm,342508
"Li-Polymer, 80 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 344.9 mm - Rộng 255.35 mm - Dày 21.54 mm - 1.9 kg,Vỏ nhựa - Nắp lưng bằng nhôm,342517
"4-cell Li-Polymer, 80 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 344.9 mm - Rộng 255.35 mm - Dày 21.54 mm - 1.9 kg,Nắp lưng và chiếu nghỉ tay bằng nhôm,342523
"6-cell Li-Po, 83 Wh",Windows 11 Home SL,2025,Dài 357.5 mm - Rộng 269 mm - Dày 25.4 mm - 2.43 kg,Vỏ nhựa,342721
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2025,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg,Vỏ nhựa,342725
