Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Kích thước,Chất liệu,data_id
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.65 kg,Vỏ nhựa,333103
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2025,Dài 357 mm - Rộng 245.5 mm - Dày 18.9 mm - 1.6 kg,Vỏ nhựa,341602
"3-cell Li-ion, 52.4 Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,330932
"4-cell, 54Wh",Windows 11 Home SL,2023,Dài 360 mm - Rộng 238 mm - Dày 22.7 mm - 2.115 kg,Vỏ nhựa,334689
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,338316
"3-cell Li-ion, 41 Wh",Windows 11 Home SL,2023,Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm - 1.59 kg,Vỏ nhựa,341618
"4-cell Li-ion, 70 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 357 mm - Rộng 250.6 mm - Dày 18.7 mm - 1.8 kg,Vỏ kim loại - Nhôm,338322
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2024,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,333102
"3-cell Li-ion, 42 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.7 mm - Rộng 249.5 mm - Dày 19.9 mm - 1.88 kg,Vỏ nhựa,334794
58 Wh,Windows 11 Home SL,2025,Dài 313.3 mm - Rộng 219.5 mm - Dày 18.9 mm - 1.46 kg,Vỏ nhựa,339202
"3-cell, 50Wh",Windows 11 Home SL,2024,Dài 318.2 mm - Rộng 225.5 mm - Dày 17.8 mm - 1.4 kg,Vỏ nhựa,322222
"3 cell, 41.04 Wh",Windows 11 Home SL,2023,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm - 1.68 kg,Vỏ nhựa,340479
60 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2024,Dài 313.4 mm - Rộng 222 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại,334449
60 Wh,Windows 11 Home SL,2025,Dài 313.4 mm - Rộng 222 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại - Nhôm,339587
"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.6 kg,Vỏ nhôm tái chế 100%,331568
"3-cell Li-ion, 52.4 Wh",Windows 11 Home SL,2023,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,326861
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 357.7 mm - Rộng 254.8 mm - Dày 17.9 mm - 1.7 kg,Vỏ kim loại,337044
60 Wh,Windows 11 Home SL,2025,Dài 313.4 mm - Rộng 222 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại - Nhôm,339581
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,337472
"2-cell, 38Wh",Windows 11 Home SL,2025,Dài 324.2 mm - Rộng 215.2 mm - Dày 19.9 mm - 1.37 kg,Vỏ nhựa,340491
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2024,Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - 1.4 kg,Vỏ nhựa,322270
"4-cell Li-ion, 70 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 315.2 mm - Rộng 223.4 mm - Dày 17.9 mm - 1.4 kg,Vỏ kim loại - Nhôm,338320
"3-cell, 50Wh",Windows 11 Home SL,2023,Dài 362.3 mm - Rộng 237.4 mm - Dày 19.9 mm - 2.1 kg,Vỏ nhựa - nắp lưng bằng kim loại,313177
"3-cell, 51Wh",Windows 11 Home SL,2024,Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm - 1.7 kg,Vỏ kim loại,340484
"3-cell, 50Wh",Windows 11 Home SL,2023,Dài 361 mm - Rộng 237 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,314630
