pid,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Chất liệu,Cân nặng
334446,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.6 kg
339679,42 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.5 kg
333430,57 Wh,Windows 11 Home SL,,Vỏ nhựa,2.1 kg
328235,56 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
321467,52.5 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.3 kg
337233,60 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.3 kg
328237,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.8 kg
337420,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.4 kg
334999,58 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
338204,52.5 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
329786,52.4 Wh,Windows 11 Home SL,2024,Nắp lưng và chiếu nghỉ tay bằng kim loại,1.9 kg
341563,60 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng hợp kim nhôm,2.5 kg
326830,43 Wh,Windows 11 Home SL,2024,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,1.5 kg
339683,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.4 kg
333886,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
332365,57 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.8 kg
333104,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.9 kg
311176,41 Wh,Windows 11 Home SL,2023,Vỏ kim loại - Nắp lưng bằng nhựa,1.7 kg
341612,53.5 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.2 kg
343120,58 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
335554,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.4 kg
325247,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
325691,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
328238,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.8 kg
338206,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.4 kg
327872,90 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.2 kg
337476,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
326049,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.4 kg
331564,72.4 Wh,macOS Sequoia,2024,Vỏ nhôm tái chế 100%,1.6 kg
326122,53.5 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.2 kg
343121,58 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
339687,56 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
338278,60 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
338324,50 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.8 kg
337474,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
311177,41 Wh,Windows 11 Home SL,2023,Vỏ kim loại - Nắp lưng bằng nhựa,1.7 kg
322072,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.4 kg
328906,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.4 kg
310447,53.5 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.2 kg
343122,58 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.8 kg
339681,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
340560,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
