pid,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Chất liệu,Cân nặng
320431,75 Wh,Windows 11 Home SL,2023,Vỏ kim loại - Nhôm,1.2 kg
327974,56 Wh,Windows 11 Home SL,2023,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
325002,70 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.3 kg
339662,80 Wh,Windows 11 Pro,2025,Vỏ kim loại - Nhôm,1.4 kg
337841,99 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.5 kg
342752,63 Wh,Windows 11 Home,2025,Vỏ nhựa,2.0 kg
326864,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.9 kg
334802,75 Wh,Windows 11 Home SL,,Vỏ kim loại - Nhôm,1.2 kg
335835,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.3 kg
339234,50 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
337236,75 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.2 kg
339951,75 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
327509,41 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
334805,42 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.5 kg
322269,48 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,2.3 kg
335551,60 Wh,Windows 11 Home SL,,Vỏ nhựa - nắp lưng bằng kim loại,1.4 kg
338313,57 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.2 kg
342758,70 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nắp lưng bằng nhựa,1.7 kg
330579,72 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.2 kg
334806,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.5 kg
341609,75 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
339541,80 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,2.6 kg
325242,41 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
311117,63 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.4 kg
339542,80 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,2.6 kg
339682,54 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.5 kg
327982,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.9 kg
328239,75 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.3 kg
341610,75 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
320434,90 Wh,Windows 11 Home SL,2023,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
339650,80 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.4 kg
340563,54 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.5 kg
341564,96 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.5 kg
309243,41 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
325583,65 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.4 kg
339660,57 Wh,Windows 11 Pro,2025,Mặt trên Sợi Carbon - Mặt dưới nhôm,1.0 kg
329851,54 Wh,Windows 11 Home SL,,Vỏ nhựa,1.7 kg
334797,75 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.3 kg
335181,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.2 kg
340488,80 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.9 kg
339689,63 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.0 kg
342495,60 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.4 kg
325575,90 Wh,Windows 11 Home SL,2024,Vỏ kim loại,2.5 kg
342497,60 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.4 kg
341566,96 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.5 kg
332350,99.9 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.5 kg
332352,75 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.0 kg
341565,96 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng hợp kim nhôm,2.6 kg
335010,99.9 Wh,Windows 11 Home SL,2025,Vỏ kim loại,3.6 kg
341567,96 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.5 kg
335112,99.9 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,3.6 kg
335113,99.9 Wh,Windows 11 Home SL,2025,Nhôm - Magie,2.9 kg
342756,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
342024,53.8 Wh,macOS Sequoia,2025,Vỏ nhôm tái chế 100%,1.2 kg
231244,,macOS,2020,Vỏ kim loại nguyên khối,1.3 kg
342942,52.4 Wh,Windows 11 Home SL,2025,Nắp lưng và chiếu nghỉ tay bằng kim loại,1.9 kg
342755,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
342507,60 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
341621,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
342519,80 Wh,Windows 11 Home SL,2025,Vỏ nhựa - Nắp lưng bằng nhôm,1.9 kg
342941,46.8 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
328599,40.2 Wh,Chrome OS,2023,Vỏ nhựa,1.1 kg
332451,72.4 Wh,macOS Sequoia,2024,Vỏ nhôm tái chế 100%,1.6 kg
335366,53.8 Wh,macOS Sequoia,2025,Vỏ nhôm tái chế 100%,1.2 kg
341622,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
305009,42 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
331523,56 Wh,Windows 11 Pro,2024,Vỏ kim loại,1.4 kg
331567,72.4 Wh,macOS Sequoia,2024,Vỏ nhôm tái chế 100%,1.6 kg
335369,53.8 Wh,macOS Sequoia,2025,Vỏ nhôm tái chế 100%,1.2 kg
339558,74.5 Wh,Windows 11 Pro,2025,Vỏ kim loại,1.5 kg
341613,75 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
328598,42.3 Wh,Chrome OS,2023,Vỏ nhựa,1.1 kg
331522,56 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.4 kg
332448,72.4 Wh,macOS Sequoia,2024,Vỏ nhôm tái chế 100%,1.6 kg
334694,99 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
337040,59 Wh,Windows 11 Pro,2024,Vỏ kim loại,1.3 kg
337844,73 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.5 kg
339235,75 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.2 kg
339236,78 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.5 kg
341269,64 Wh,Windows 11 Home SL,2025,Vỏ hợp kim Nhôm,1.3 kg
342505,70 Wh,Windows 11 Home SL,2025,Vỏ nhôm,1.2 kg
284343,76 Wh,Windows 11 Home SL,2022,Vỏ nhựa - nắp lưng bằng kim loại,2.0 kg
332274,71 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.6 kg
335015,90 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.7 kg
335963,99.98 Wh,Windows 11 Pro,,Vỏ nhựa - nắp lưng bằng kim loại,3.5 kg
335964,99.98 Wh,Windows 11 Pro,2025,Vỏ nhựa - nắp lưng bằng kim loại,3.5 kg
341268,64 Wh,Windows 11 Home SL,2025,Vỏ hợp kim Nhôm,1.3 kg
341572,99.9 Wh,Windows 11 Home SL,2025,Vỏ kim loại,1.5 kg
341573,99.9 Wh,Windows 11 Home,2025,Vỏ kim loại,2.1 kg
342504,70 Wh,Windows 11 Home SL,2025,Vỏ nhôm,1.2 kg
342508,57 Wh,Windows 11 Pro,2025,Vỏ nhôm,1.2 kg
342517,80 Wh,Windows 11 Home SL,2025,Vỏ nhựa - Nắp lưng bằng nhôm,1.9 kg
342523,80 Wh,Windows 11 Home SL,2025,Nắp lưng và chiếu nghỉ tay bằng nhôm,1.9 kg
342721,83 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
342725,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
