Card màn hình,data_id,Số nhân GPU,Công suất đồ hoạ - TGP,Hiệu năng xử lý AI (TOPS)
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",322073,,,
"['Card rời - NVIDIA GeForce RTX 5050, 8 GB', 'Card rời']",340487,2560 CUDA Cores,115 W,Lên đến 440 TOPS
"['Card tích hợp - 16 nhân GPU', 'Card tích hợp']",332450,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",308697,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",317704,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",325479,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",333105,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",337469,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",337041,,,
"['Card tích hợp - Intel Iris Xe Graphics eligible', 'Card tích hợp']",333423,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",341604,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",313974,2304 CUDA Cores,70 W,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",339656,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",332370,,,
"['Card rời - AMD Radeon RX 6550M, 4 GB', 'Card rời']",314849,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",334440,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",342469,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",327977,,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",330578,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",337043,,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",319657,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",325953,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",331506,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",333424,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",326641,,,
"['Card tích hợp - Intel Arc 140T', 'Card tích hợp']",339652,,,
"['Card rời - NVIDIA GeForce RTX 4060, 8 GB', 'Card rời']",322100,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",329853,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",327898,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",341568,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",310839,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",340483,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",338312,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",339201,,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",325699,Hãng không công bố,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",339653,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",329736,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",339265,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",327710,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",340565,Hãng không công bố,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",340562,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",325477,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",342526,Hãng không công bố,105 W,Lên đến 194 TOPS
"['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)', 'Card tích hợp']",323325,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",329852,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",333425,,,
"['Card tích hợp - Intel Arc 140T', 'Card tích hợp']",339655,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",302209,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",338000,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",309375,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",335170,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",325244,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",328443,2048 CUDA Cores,75 W,Lên đến 80 TOPS
"['Card tích hợp - AMD Radeon 680M Graphics', 'Card tích hợp']",338279,,,
"['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)', 'Card tích hợp']",304543,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",332368,,,
"['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)', 'Card tích hợp']",326637,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",329429,2304 CUDA Cores,70 W,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",328474,,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",328483,2048 CUDA Cores,65 W,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",316941,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",317712,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",340561,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",338317,,,
